HMS Property ID,Dispose Date,Address Line1,Address Line2,City,County,Post Code,Locality1,Locality2,Locality3,Locality4,DwellingCode,post_preamble
ALBERT00031D,NULL,31 FLAT D Albert Square,London,                                                  ,                                                  ,SW8 1DA,SF ,223,,,3,FLAT D
ALBERT014101,NULL,141 Flat 1 Albert Road,London,                                                  ,                                                  ,E16 2JD,EF ,226,,,3,Flat 1
ALBERT014102,NULL,141 Flat 2 Albert Road,London,                                                  ,                                                  ,E16 2JD,EF ,226,,,3,Flat 2
ALBERT014103,NULL,141 Flat 3 Albert Road,London,                                                  ,                                                  ,E16 2JD,EF ,226,,,3,Flat 3
ALBERT014104,NULL,141 Flat 4 Albert Road,London,                                                  ,                                                  ,E16 2JD,EF ,226,,,3,Flat 4
ALBERT014105,NULL,141 Flat 5 Albert Road,London,                                                  ,                                                  ,E16 2JD,EF ,226,,,3,Flat 5
ALBERT014106,NULL,141 Flat 6 Albert Road,London,                                                  ,                                                  ,E16 2JD,EF ,226,,,3,Flat 6
ALBERT016501,NULL,167 Flat 1 Albert Road,London,                                                  ,                                                  ,E16 2JS,EF ,226,,,3,Flat 1
ALBERT016502,NULL,167 Flat 2 Albert Road,London,                                                  ,                                                  ,E16 2JS,EF ,226,,,3,Flat 2
ALBERT016503,NULL,167 Flat 3 Albert Road,London,                                                  ,                                                  ,E16 2JS,EF ,226,,,3,Flat 3
ALBERT016504,NULL,167 Flat 4 Albert Road,London,                                                  ,                                                  ,E16 2JS,EF ,226,,,3,Flat 4
ALBERT016505,NULL,167 Flat 5 Albert Road,London,                                                  ,                                                  ,E16 2JS,EF ,226,,,3,Flat 5
ALEXAN005700,NULL,57  Alexandra Road,London,                                                  ,                                                  ,E6 6HA,EF ,226,,,3,
ALEXAN007100,NULL,71  Alexandra Road,London,                                                  ,                                                  ,E6 6HA,EF ,226,,,3,
ALEXHS000100,NULL, Flat 1 Alexander House,Tiller Road,London                                            ,London                                            ,E14 8PT,IF ,231,,,3,Flat 1
ALEXHS000200,NULL, Flat 2 Alexander House,Tiller Road,London                                            ,London                                            ,E14 8PT,IF ,231,,,3,Flat 2
ALEXHS000300,NULL, Flat 3 Alexander House,Tiller Road,London                                            ,London                                            ,E14 8PT,IF ,231,,,3,Flat 3
ALEXHS000400,NULL, Flat 4 Alexander House,Tiller Road,London                                            ,London                                            ,E14 8PT,IF ,231,,,3,Flat 4
ALEXHS000500,NULL, Flat 5 Alexander House,Tiller Road,London                                            ,London                                            ,E14 8PT,IF ,231,,,3,Flat 5
ALEXHS000600,NULL, Flat 6 Alexander House,Tiller Road,London                                            ,London                                            ,E14 8PT,IF ,231,,,3,Flat 6
ALEXHS000700,NULL, Flat 7 Alexander House,Tiller Road,London                                            ,London                                            ,E14 8PT,IF ,231,,,3,Flat 7
ALEXHS000800,NULL, Flat 8 Alexander House,Tiller Road,London                                            ,London                                            ,E14 8PT,IF ,231,,,3,Flat 8
ALEXHS000900,NULL, Flat 9 Alexander House,Tiller Road,London                                            ,London                                            ,E14 8PT,IF ,231,,,3,Flat 9
ALEXHS001000,NULL, Flat 10 Alexander House,Tiller Road,London                                            ,London                                            ,E14 8PT,IF ,231,,,3,Flat 10
ALEXHS001100,NULL, Flat 11 Alexander House,Tiller Road,London                                            ,London                                            ,E14 8PT,IF ,231,,,3,Flat 11
ALEXHS001200,NULL, Flat 12 Alexander House,Tiller Road,London                                            ,London                                            ,E14 8PT,IF ,231,,,3,Flat 12
ALEXHS001300,NULL, Flat 13 Alexander House,Tiller Road,London                                            ,London                                            ,E14 8PT,IF ,231,,,3,Flat 13
ALEXHS001400,NULL, Flat 14 Alexander House,Tiller Road,London                                            ,London                                            ,E14 8PT,IF ,231,,,3,Flat 14
ALEXHS001500,NULL, Flat 15 Alexander House,Tiller Road,London                                            ,London                                            ,E14 8PT,IF ,231,,,3,Flat 15
ALEXHS001600,NULL, Flat 16 Alexander House,Tiller Road,London                                            ,London                                            ,E14 8PT,IF ,231,,,3,Flat 16
ALGERN00123A,NULL, Flat A 123 Algernon Road,Lewisham,                                                  ,                                                  ,SE13 7AP,SF ,224,,,3,Flat A
ALGERN00123B,NULL, Flat B 123 Algernon Road,Lewisham,                                                  ,                                                  ,SE13 7AP,SF ,224,,,3,Flat B
ALICHS000100,NULL, Flat 1 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 1
ALICHS000200,NULL, Flat 2 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 2
ALICHS000300,NULL, Flat 3 Alice Shepherd House,Manchester Road,London                                            ,London                                            ,E14 3ET,IF ,231,,,3,Flat 3
