source_db_ref,name,search_name,manager_code,default_currency_code
246,Sington House,246,ACTIV,GBP
247,South Villas,247,ACTIV,GBP
248,St Johns Estate,248,ACTIV,GBP
249,St Johns Mansions,249,ACTIV,GBP
250,St Pancras Way,250,ACTIV,GBP
251,St Williams Court,251,ACTIV,GBP
252,St. Augustines Road,252,ACTIV,GBP
253,St. Chads Street,253,ACTIV,GBP
254,St. Cuthberts Road,254,ACTIV,GBP
255,St. Johns Road,255,ACTIV,GBP
256,St. Pauls Crescent,256,ACTIV,GBP
257,Surrendale Place,257,ACTIV,GBP
258,Suttons Wharf North Estate,258,ACTIV,GBP
259,Swinton Street,259,ACTIV,GBP
260,Talacre Road,260,ACTIV,GBP
261,Tarling  Sheridan Heights,261,ACTIV,GBP
262,The Oxygen,262,ACTIV,GBP
263,The Turnery,263,ACTIV,GBP
264,Third Avenue,264,ACTIV,GBP
265,Timber Wharf,265,ACTIV,GBP
266,Tollington Way,266,ACTIV,GBP
267,Tottenham Street,267,ACTIV,GBP
268,Tower House,268,ACTIV,GBP
269,Valentine House,269,ACTIV,GBP
270,Vulcan Terrace,270,INACT,GBP
271,Walterton Road,271,ACTIV,GBP
272,Ward Road,272,ACTIV,GBP
273,Warwick Avenue,273,ACTIV,GBP
274,Westbourne Road,274,ACTIV,GBP
275,White Lion Street,275,ACTIV,GBP
276,Willes Road,276,ACTIV,GBP
277,Wilmot Place,277,ACTIV,GBP
278,Windward Court,278,ACTIV,GBP
279,Wren Street,279,ACTIV,GBP
280,York Way,280,ACTIV,GBP
281,All Saints Court,281,ACTIV,GBP
282,Ardrossan Close,282,ACTIV,GBP
283,Anerley Station,283,ACTIV,GBP
284,Charrington Court,284,ACTIV,GBP
285,Attebrouche Court,285,ACTIV,GBP
286,Azalea Close,286,ACTIV,GBP
287,Bath Road,287,ACTIV,GBP
288,Bawley Terrace,288,ACTIV,GBP
289,Blunden Drive,289,ACTIV,GBP
290,Brackstone Close,290,ACTIV,GBP
291,Bridport Way,291,ACTIV,GBP
292,Red Cottage Drive,292,ACTIV,GBP
293,Honor Lea House,293,ACTIV,GBP
294,Saxon Court,294,ACTIV,GBP
295,Honeyfield,295,ACTIV,GBP
296,Pinefield,296,ACTIV,GBP
297,Chalton Street,297,ACTIV,GBP
298,Chapel Arches,298,ACTIV,GBP
299,Childs Close,299,ACTIV,GBP
300,College East,300,ACTIV,GBP
301,577 Commercial Road,301,ACTIV,GBP
302,Compton Passage,302,ACTIV,GBP
303,Donnington Gardens,303,ACTIV,GBP
304,Dunbar Close,304,ACTIV,GBP
305,Dunstans Drive,305,ACTIV,GBP
306,Emerald House,306,ACTIV,GBP
307,Fawe Street,307,ACTIV,GBP
308,Joan Court,308,ACTIV,GBP
309,Guerdon Place,309,ACTIV,GBP
310,Hardy Close,310,ACTIV,GBP
311,Heywood Court Close,311,ACTIV,GBP
312,Hollyfield,312,ACTIV,GBP
313,Jeremiah House,313,ACTIV,GBP
314,John Sinclair Court,314,ACTIV,GBP
315,Jupp Road West,315,ACTIV,GBP
316,Leonard Street,316,ACTIV,GBP
317,Leonard Place,317,ACTIV,GBP
318,Maplefield,318,ACTIV,GBP
319,Oval Road,319,ACTIV,GBP
320,Park Corner,320,ACTIV,GBP
321,Peacock Place,321,ACTIV,GBP
322,Rosefield,322,ACTIV,GBP
323,Hazlefield,323,ACTIV,GBP
324,Annabelle Court,324,ACTIV,GBP
325,Essame Close,325,ACTIV,GBP
326,Willowfield,326,ACTIV,GBP
327,Byron Court,327,ACTIV,GBP
328,Navigation Court,328,ACTIV,GBP
329,All Nations House,329,ACTIV,GBP
330,Rainbow Park,330,ACTIV,GBP
331,Fortess Road,331,ACTIV,GBP
332,Wendling,332,INACT,GBP
333,Wise Road,333,ACTIV,GBP
334,Westgate Apartments,334,ACTIV,GBP
335,Gloucester Place,335,ACTIV,GBP
336,Foley Street,336,ACTIV,GBP
337,Raymond Chadburn,337,ACTIV,GBP
338,Rutherford Close,338,ACTIV,GBP
339,Sach Road,339,ACTIV,GBP
340,Evering Road,340,ACTIV,GBP
341,East India Dock Road,341,ACTIV,GBP
342,Stirling Way,342,ACTIV,GBP
343,Leslie Forster House,343,ACTIV,GBP
344,The Spens,344,ACTIV,GBP
345,Shirland Road,345,ACTIV,GBP
346,Spring Lane,346,ACTIV,GBP
347,Whites Row,347,ACTIV,GBP
348,Stratford Road,348,ACTIV,GBP
349,Bernard Hegarty Lodge,349,ACTIV,GBP
350,Bridge Gardens,350,ACTIV,GBP
351,Green Road,351,ACTIV,GBP
352,Manor Road,352,ACTIV,GBP
353,Navarino Road,353,ACTIV,GBP
354,Omnium Court,354,ACTIV,GBP
355,Purley Place,355,ACTIV,GBP
356,Rushmore Road,356,ACTIV,GBP
357,Signal House,357,ACTIV,GBP
358,Silver House,358,ACTIV,GBP
359,Sindle Close,359,ACTIV,GBP
360,Stonefield Park,360,ACTIV,GBP
361,Willis Yard,361,ACTIV,GBP
362,King Harry Lane,362,ACTIV,GBP
363,Orsman Road,363,ACTIV,GBP
364,Arbour Square,364,INACT,GBP
365,Arcola Street,365,ACTIV,GBP
366,Argyle Street,366,INACT,GBP
367,Argyle Walk,367,INACT,GBP
368,Torquay Spur,368,INACT,GBP
369,Boadicea Close,369,INACT,GBP
370,Rivington Apartments,370,ACTIV,GBP
371,Frederick Str. Phs 2,371,ACTIV,GBP
372,Allen Garden Phs 4,372,ACTIV,GBP
373,Garden Place,373,ACTIV,GBP
